und_codigo,und_descricao,und_sigla,und_municipio,und_coord,und_status,                                                      
104,ESCOLA ESTADUAL ESTELITA TAPAJOS,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                                                                
105,ESCOLA ESTADUAL ISAAC BENZECRY,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                                 
106,ESCOLA ESTADUAL LEOPOLDO NEVES,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                                                             
107,ESCOLA ESTADUAL MACHADO DE ASSIS,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                                                    
108,ESCOLA ESTADUAL MESTRE OTILIO,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                                       
109,ESCOLA ESTADUAL MONTEIRO DE SOUZA,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                                 
111,ESCOLA ESTADUAL PROFESSORA DIANA PINHEIRO,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                             
114,ESCOLA ESTADUAL ALFREDO CAMPOS,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                         
115,ESCOLA ESTADUAL JOSE CARLOS MESTRINHO,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                
116,ESCOLA ESTADUAL LUCINDA FELIX DE AZEVEDO,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                             
117,ESCOLA ESTADUAL LUIS DE CAMOES,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                                             
118,ESCOLA ESTADUAL NATHALIA UCHOA,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                                             
119,ESCOLA ESTADUAL PROFª ONDINA DE PAULA RIBEIRO,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                                      
120,ESCOLA ESTADUAL PROFESSOR BENICIO LEAO,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                                            
121,ESCOLA ESTADUAL BENEDITO ALMEIDA,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                                                        
122,ESCOLA ESTADUAL PROFESSOR DJALMA DA CUNHA BATISTA,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                            
123,ESCOLA ESTADUAL ADERSON DE MENEZES,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                                                
124,ESCOLA ESTADUAL PROFESSORA ALICE SALERNO GOMES DE LIMA,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                            
125,ESCOLA ESTADUAL ALMIRANTE BARROSO,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                                   
126,ESCOLA ESTADUAL ALTAIR SEVERIANO NUNES,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                       
127,ESCOLA ESTADUAL SIMON BOLIVAR,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                              
129,ESCOLA ESTADUAL MENINO JESUS DE PRAGA,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                                                       
130,ESCOLA ESTADUAL PROFA LEONILIA MARINHO,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                           
131,ESCOLA ESTADUAL SANTA TEREZINHA,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                                            
132,ESCOLA ESTADUAL FARIAS BRITTO,,MANAUS,COORD. DISTRITAL 01,Ativa,              
133,ESCOLA ESTADUAL LUIZINHA NASCIMENTO,,MANAUS,COORD. DISTRITAL 01,Ativa,                                                                                                                      
134,ESCOLA ESTADUAL PLACIDO SERRANO,,MANAUS,COORD. DISTRITAL 01,Ativa,                                                                                                      
135,ESCOLA ESTADUAL 1º DE MAIO,,MANAUS,COORD. DISTRITAL 01,Ativa,                                                                                                                        
136,ESCOLA ESTADUAL SANTA LUZIA,,MANAUS,COORD. DISTRITAL 01,Ativa,                                                                                                                           
137,COLEGIO MILITAR DA POLICIA MILITAR DO AMAZONAS,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                               
138,ESCOLA ESTADUAL ANGELO RAMAZZOTTI,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                       
139,ESCOLA ESTADUAL GETULIO VARGAS,,MANAUS,COORD. DISTRITAL 01,Ativa,                                                                                                                        
140,ESCOLA ESTADUAL HELENA ARAUJO,,MANAUS,COORD. DISTRITAL 01,Ativa,                                                                                                      
141,ESCOLA ESTADUAL IZABEL BARRONCAS,,MANAUS,COORD. DISTRITAL 01,Ativa,                                                                                                       
142,ESCOLA ESTADUAL MARCIO NERY,,MANAUS,COORD. DISTRITAL 01,Ativa,                                                                                                                                  
143,ESCOLA ESTADUAL PADRE AGOSTINHO MARTIN,,MANAUS,COORD. DISTRITAL 01,Ativa,                                                                                              
144,ESCOLA ESTADUAL TIRADENTES,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                                                                    
147,ESCOLA ESTADUAL ARTHUR ARAUJO,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                                             
148,ESCOLA ESTADUAL HERBERT PALHANO,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                                                        
149,ESCOLA ESTADUAL PROFA LEONOR SANTIAGO MOURAO,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                
150,ESCOLA ESTADUAL NOSSA SENHORA DAS GRACAS,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                                        
151,ESCOLA ESTADUAL SOLON DE LUCENA,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                                                        
152,ESCOLA ESTADUAL VICENTE TELLES,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                                                          
153,ESCOLA ESTADUAL FUETH PAULO MOURAO,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                                                               
154,ESCOLA ESTADUAL GENERAL SAMPAIO,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                                                                
155,ESCOLA ESTADUAL ISAAC BENAYON SABBA,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                                                                      
156,ESCOLA ESTADUAL JOAO BOSCO PANTOJA EVANGELISTA,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                            
157,ESCOLA ESTADUAL MARECHAL HERMES,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                                                          
158,ESCOLA ESTADUAL PRESIDENTE CASTELO BRANCO,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                                                             
159,ESCOLA ESTADUAL ZULMIRA BITTENCOURT,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                  
161,ESCOLA ESTADUAL PROF ANTONIO MAURITY MONTEIRO COELHO,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                   
162,EE PROFª BERNARDETE DO SOCORRO TRINDADE DA ROCHA,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                                
163,ESCOLA ESTADUAL GILBERTO MESTRINHO,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                             
164,ESCOLA ESTADUAL DR ISAAC SVERNER,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                                                                
165,ESCOLA ESTADUAL MARIA MADALENA SANTANA DE LIMA,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                                            
166,ESCOLA ESTADUAL MARIA TEIXEIRA GOES,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                                                    
167,ESCOLA ESTADUAL RILTON LEAL FILHO,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                                         
