und_codigo,und_descricao,und_sigla,und_municipio,und_coord,und_status,                                                      
6237,ESCOLA ESTADUAL PROFESSOR ROBERTO DOS SANTOS VIEIRA,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                
6238,ESCOLA ESTADUAL PROFª ADELAIDE TAVARES DE MACEDO,,MANAUS,COORD. DISTRITAL 03,Ativa,                                                                                                         
6247,ESCOLA ESTADUAL PROFESSORA ROXANA PEREIRA BONESSI,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                       
6294,ESCOLA ESTADUAL RAIMUNDA HOLANDA DE SOUZA,,MANAUS,COORD. DISTRITAL 06,Ativa,                                                                                          
6334,ESCOLA ESTADUAL DE ATEND. ESP. MAYARA REDMAN ABDEL AZIZ,,MANAUS,COORD. DISTRITAL03,Ativa,                                                         
6486,ESCOLA ESTADUAL JAIRO DA SILVA ROCHA,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                                             
6520,ESCOLA ESTADUAL PROFESSORA WILMA VITORIANO GEBER,,MANAUS,COORD. DISTRITAL 06,Ativa,                                                                          
6521,ESCOLA ESTADUAL PROFESSOR ERNANE NASCIMENTO SIMAO,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                             
6522,ESCOLA ESTADUAL PROF DEMOSTENES BELDUQUE ARAUJO TRAVESSA,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                               
6524,EETI RAFAIEL HENRIQUE PINHEIRO DOS SANTOS,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                                           
6525,ESCOLA ESTADUAL PROFESSOR SEBASTIAO AUGUSTO LOUREIRO FILHO,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                           
6526,ESCOLA ESTADUAL PROFESSORA TEREZA SIQUEIRA TUPINAMBA,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                     
7216,ESCOLA ESTADUAL FREI MARIO MONACELLI,,MANAUS,COORD. DISTRITAL 06,Ativa,                                                                                 
7221,ESCOLA ESTADUAL PROFA ANA LUCIA DE MORAES COSTA E SILVA,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                         
7222,ESCOLA ESTADUAL AUREA PINHEIRO BRAGA,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                                         
7238,ESCOLA ESTADUAL PROFESSORA HAYDEE CABRAL LYRA,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                          
7239,ESCOLA ESTADUAL SENADOR JEFFERSON CARPINTEIRO PERES,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                  
7240,ESCOLA ESTADUAL RAIO DE SOL,,MANAUS,COORD. DISTRITAL 06,Ativa,                                                                                                           
7241,ESCOLA ESTADUAL AYRTON SENNA,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                                            
7385,ESCOLA ESTADUAL MADRE TEREZA DE CALCUTA,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                          
7421,ESCOLA ESTADUAL ANA NEIRE MARQUES DA SILVA,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                            
7422,ESCOLA ESTADUAL DRA ZILDA ARNS NEUMANN,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                            
7442,ESCOLA ESTADUAL IRMA GABRIELLE COGELS,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                                                             
7466,EETI PROFESSOR GARCITYLZO DO LAGO E SILVA,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                             
7516,EETI DRA ZILDA ARNS NEUMANN,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                                        
7517,EETI MARCANTONIO VILACA II,,MANAUS,COORD. DISTRITAL 06,Ativa,                                                                                                                    
7679,EETI JOAO DOS SANTOS BRAGA,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                 
7710,EETI AUREA PINHEIRO BRAGA,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                                                                                 
7711,EETI GILBERTO MESTRINHO DE MEDEIROS RAPOSO,,MANAUS,COORD. DISTRITAL 02,Ativa,                                                                             
7739,CEJA PROFESSOR PAULO FREIRE,,MANAUS,COORD. DISTRITAL 01,Ativa,                                                                                                                          
7740,ESCOLA ESTADUAL PROFESSORA CECILIA FERREIRA DA SILVA,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                          
7807,EETI ELISA BESSA FREIRE,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                                                   
7809,EETI PROFESSORA CINTHIA REGIA GOMES DO LIVRAMENTO,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                                                              
8117,ESCOLA ESTADUAL SAMSUNG AMAZONAS,,MANAUS,COORD. DISTRITAL 04,Ativa,                                                                           
8120,EETI ENGENHEIRO PROFESSOR SERGIO ALFREDO PESSOA FIGUEIREDO,,MANAUS,COORD. DISTRITAL 05,Ativa,                                                            
8671,ESCOLA ESTADUAL ELIANA SOCORRO PACHECO BRAGA,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                          
9013,ESCOLA ESTADUAL PROF ELIANA DE FREITAS MORAIS,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                          
9110,ESCOLA ESTADUAL SENADOR EVANDRO DAS NEVES CARREIRA,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                                                         
9111,ESCOLA ESTADUAL PROFA KARLA PATRICIA BARROS DE AZEVEDO,,MANAUS,COORD. DISTRITAL 07,Ativa,                                                            
