und_codigo,und_descricao,und_sigla,und_municipio,und_coord,und_status
4,ESCOLA ESTADUAL ITACYARA NOGUEIRA PINHO,,MANAUS,/ 04,Ativa,                                                                                                  
5,ESCOLA ESTADUAL MARIA DA LUZ CALDERARO,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                                                    
6,ESCOLA ESTADUAL MARIA RODRIGUES TAPAJOS,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                                                                
7,ESCOLA ESTADUAL OLGA FALCONE,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                                           
8,ESCOLA ESTADUAL RAIMUNDO GOMES NOGUEIRA,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                            
9,ESCOLA ESTADUAL ROSINA FERREIRA DA SILVA,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                                                
10,ESCOLA EST TEREZA DE JESUS AZEVEDO DE VASCONCELOS DIAS,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                           
11,ESCOLA ESTADUAL THOME DE MEDEIROS RAPOSO,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                                                   
12,ESCOLA ESTADUAL FRANCISCA BOTINELLY CUNHA E SILVA,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                          
13,ESCOLA ESTADUAL GONCALVES DIAS,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                     
14,ESCOLA ESTADUAL HUMBERTO DE CAMPOS,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                                             
16,ESCOLA ESTADUAL MARIA AMELIA DO ESPIRITO SANTO,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                            
17,ESCOLA ESTADUAL PROFª ALDA BARATA,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                                 
20,ESCOLA ESTADUAL SENADOR PETRONIO PORTELLA,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                                      
21,ESCOLA ESTADUAL ALFREDO FERNANDES,,MANAUS,COORDENADORIA DISTRITAL 04,Ativa,                                                                                                                            
22,ESCOLA ESTADUAL ANTONIO DA ENCARNACAO FILHO,,MANAUS,COORDENADORIA DISTRITAL 04,Ativa,                                                                                    
23,ESCOLA ESTADUAL FRANCELINA DANTAS,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,       
24,ESCOLA ESTADUAL PROF JOSE RIBAMAR DA COSTA,,MANAUS,COORDENADORIA DISTRITAL 04,Ativa,                                                                                    
25,ESCOLA ESTADUAL SENADOR MANUEL SEVERIANO NUNES,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                                      
26,ESCOLA ESTADUAL MARIA DE LOURDES RODRIGUES ARRUDA,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                               
27,ESCOLA ESTADUAL PROFº WALDIR GARCIA,,MANAUS,COORDENADORIA DISTRITAL 03,Ativa,                                                                                                              
28,ESCOLA ESTADUAL ANTONIO TELES DE SOUZA,,MANAUS,COORDENADORIA DISTRITAL 01,Ativa,                                                                                            
29,ESCOLA ESTADUAL CONEGO AZEVEDO,,MANAUS,COORDENADORIA DISTRITAL 01,Ativa,                                                                                                                          
30,ESCOLA ESTADUAL HERMENEGILDO DE CAMPOS,,MANAUS,COORDENADORIA DISTRITAL 01,Ativa,                                                                                  
31,ESCOLA ESTADUAL NOSSA SENHORA APARECIDA,,MANAUS,COORDENADORIA DISTRITAL 01,Ativa,                                                                                      
32,ESCOLA ESTADUAL VICENTE SCHETTINI,,MANAUS,COORDENADORIA DISTRITAL 01,Ativa,                                                                                                       
33,ESCOLA ESTADUAL ADALBERTO VALE,,MANAUS,COORDENADORIA DISTRITAL 02,Ativa,                                                                                                         
34,ESCOLA ESTADUAL ANTONIO DE LUCENA BITTENCOURT,,MANAUS,COORDENADORIA DISTRITAL 02,Ativa,                                                                                                      
35,ESCOLA ESTADUAL BOM PASTOR,,MANAUS,COORDENADORIA DISTRITAL 02,Ativa,                                                                                                                                  
36,ESCOLA ESTADUAL BRIG. JOAO CAMARAO TELLES RIBEIRO,,MANAUS,COORDENADORIA DISTRITAL 02,Ativa,                                                                                              
37,ESCOLA ESTADUAL DORVAL PORTO,,MANAUS,COORDENADORIA DISTRITAL 02,Ativa,                                                                                                              
38,ESCOLA ESTADUAL NOSSA SENHORA DA DIVINA PROVIDENCIA,,MANAUS,COORDENADORIA DISTRITAL 02,Ativa,                                                                                          
39,ESCOLA ESTADUAL PAULA ANGELA FRASSINETTI,,MANAUS,COORDENADORIA DISTRITAL 02,Ativa,                                                                                               
40,ESCOLA ESTADUAL PROF NELSON ALVES FERREIRA,,MANAUS,COORDENADORIA DISTRITAL 02,Ativa,                                                                                                             
